33, MAC Daddy, 1453 18th St., San Francisco, 94107, CA, 415 587 6670
34, Heyday, 180 Spear St, San Francisco, 94105, CA, 273 893 1915
35, IZUMI KAITEN SUSHI, 1737 Post St Ste 355, San Francisco, 94115, CA, 765 149 2989
36, Champa Garden, 613 Faxon Ave, San Francisco, 94112, CA, 415 534 4186
37, WOW THAI KITCHEN, 701 Randolph St, San Francisco, 94132, CA, 415 558 6726
38, Mikado Sushi Inc., 1684 Bryant St, San Francisco, 94103, CA, 116 674 7075
39, Irving Subs, 1298 12th Ave, San Francisco, 94122, CA, 501 259 1830
40, 94674 Doggie Diner, 24 Willie Mays Pl 2112, San Francisco, 94107, CA, 735 930 3579
41, WOW THAI KITCHEN, 701 Randolph St, San Francisco, 94132, CA, 415 558 6726
42, SAN BRUNO SUPERMARKET, 2480 SAN BRUNO Ave, San Francisco, 94134, CA, 476 427 7238
43, Mission Street Sports Bar SF, 2565 Mission St., San Francisco, 94110, CA, 415 730 6425
44, 7-Eleven Store 2231-33429A, 43 Drumm St, San Francisco, 94111, CA, 740 193 4799
45, The Snug, 2301 Fillmore St, San Francisco, 94115, CA, 939 219 3560
46, CHINA EXPRESS, 2798 MISSION St, San Francisco, 94110, CA, 105 810 2386
47, Tacos San Buena, 768 Sansome St, San Francisco, 94111, CA, 298 229 3701
48, Mangrove Kitchen, 312 DIVISADERO St, San Francisco, 94117, CA, 674 113 1154
49, Fish N Gari, 1718 Polk St, San Francisco, 94109, CA, 989 692 4680
50, Kate O'Brien's, 579 HOWARD St, San Francisco, 94105, CA, 578 171 5429
51, Yuubi Japanese Restaurant, 501 BALBOA ST, San Francisco, 94118, CA, 235 902 1261
52, PUNJAB KABAB HOUSE, 101 EDDY St, San Francisco, 94102, CA, 348 101 7108
53, Twenty Five Lusk, 25 Lusk St, San Francisco, 94107, CA, 109 708 2374
54, BEN WAH RESTAURANT, 2786 CALIFORNIA St, San Francisco, 94115, CA, 141 958 1546
55, Francisco Middle School, 2190 Powell St, San Francisco, 94133, CA, 339 665 6347
56, 7-Eleven #2366-34977, 527 Sutter St, San Francisco, 94102, CA, 198 357 9595
57, Lao Table, 149 2nd St, San Francisco, 94105, CA, 627 426 3577
58, Deena's Market and Smoke Shop, 600 O'Farrell St, San Francisco, 94109, CA, 548 863 7723
59, Martha & Brothers Coffee Co, 3868 24th St, San Francisco, 94114, CA, 415 564 4433
60, Tropisueño, 75 Yerba Buena Ln, San Francisco, 94103, CA, 304 989 1068
61, MCKINLEY ELEMENTARY SCHOOL, 1025 14th St, San Francisco, 94114, CA, 983 554 7739
62, CAFE INTERNATIONAL, 508 HAIGHT St, San Francisco, 94117, CA, 709 287 8888
63, TAQUERIA CAN-CUN, 2288 MISSION St, San Francisco, 94110, CA, 603 392 8963
64, French Club, 414 Mason St  8th Floor, San Francisco, 94102, CA, 483 688 5382
65, Togo's, 2300 16th St, San Francisco, 94103, CA, 415 555 8646
66, Tacos Santo Toribio, 928 Toland, San Francisco, 94121, CA, 415 550 9190
67, Beluga Restaurant, 5323 Geary Blvd, San Francisco, 94121, CA, 415 551 7718
68, "PARAMOUNT SUPERSTARS INC.", 939 Clement St, San Francisco, 94121, CA, 186 156 2109
69, SUNRISE MARKET, 688 Haight St, San Francisco, 94117, CA, 724 331 8197
70, SNACK & BOTTLE SHOP, 644 PERSIA Ave, San Francisco, 94112, CA, 916 619 2483
71, San Francisco Champagne Society, 1097 Howard St #101, San Francisco, 94103, CA, 220 916 7638
72, Village House, 3398 Balboa St A, San Francisco, 94121, CA, 415 552 6655
73, Noori, 1924 IRVING St, San Francisco, 94122, CA, 507 214 8897
74, Proper Food, 235 2nd St, San Francisco, 94105, CA, 853 795 8979
75, Montesacro, 510 Stevenson St, San Francisco, 91410, CA, 438 177 3474
76, Howard & 6th Street Food Market Inc., 1000 Howard St, San Francisco, 94103, CA, 896 967 4210
77, Union Street Produce, 801 Union St, San Francisco, 94133, CA, 736 988 1703
78, Spinnerie, 1401 Polk St, San Francisco, 94109, CA, 852 646 5221
79, Hornblower Hospitality Svcs/MV Calif. Hornblower, Pier 3 The Embarcadero, San Francisco, 94111, CA, 110 870 5475
80, Westfield Food Court Scullery, 845 Market St Scullery (LL), San Francisco, 94103, CA, 603 996 9917
81, Tsing Tao #2, 1117 Fillmore St, San Francisco, 94115, CA, 835 900 8699
82, Original Perfect Hamburger, 601 Geary St, San Francisco, 94102, CA, 413 740 2102
83, Patxi's Pizza, 822 Irving St, San Francisco, 94122, CA, 415 575 9000
84, Kobe Bento, 901 Kearny St, San Francisco, 94133, CA, 591 326 8644
85, B44, 44 Belden Pl, San Francisco, 94104, CA, 334 900 3655
86, KING OF THAI NOODLE HOUSE, 639 CLEMENT St, San Francisco, 94118, CA, 762 617 2019
87, Basa Seafood Express, 3064 24th St, San Francisco, 94110, CA, 756 129 3998
88, Lers Ros Thai Noodle, 730 Larkin St, San Francisco, 94109, CA, 318 767 3112
89, JEFFERSON ELEMENTARY SCHOOL, 1725 IRVING St, San Francisco, 94122, CA, 731 992 9827
90, Subway Sandwiches #34341, 11 03rd St, San Francisco, 94103, CA, 119 276 1589
91, TRADER JOE'S, 555 09th St, San Francisco, 94103, CA, 798 636 7089
92, GAS & SHOP, 599 South Van Ness Ave, San Francisco, 94110, CA, 503 759 3668
93, Bubba Gump Shrimp Co., Pier 39  M210, San Francisco, 94133, CA, 791 510 1955
94, MONG THU COFFEE SHOP, 248 HYDE St, San Francisco, 94102, CA, 736 911 3166
95, Tsing Tao #2, 1117 Fillmore St, San Francisco, 94115, CA, 775 686 6269
96, THAI TIME RESTAURANT, 315 08th Ave, San Francisco, 94118, CA, 932 181 1481
97, CLEMENT BBQ RESTAURANT, 617 CLEMENT St, San Francisco, 94118, CA, 746 698 4718
98, Ramen City, 1398 Grant Ave, San Francisco, 94133, CA, 735 836 8636
99, SOTA (SCHOOL OF THE ARTS), 555 Portola Dr, San Francisco, 94131, CA, 592 239 7119
100, CAFE LA TAZA, 2475A MISSION, San Francisco, 94110, CA, 472 532 2412
